arrondissements,cantons,communes,departements,regions,quartiers,QP
,,Lewarde,,,,
,,Lexy,,,,
,,Ley,,,,
,,Leychert,,,,
,,Leyme,,,,
,,Leymen,,,,
,,Leyment,,,,
,,Leynes,,,,
,,Leynhac,,,,
,,Leyr,,,,
,,Leyrat,,,,
,,Leyrieu,,,,
,,Leyritz-Moncassin,,,,
,,Leyssard,,,,
,,Leyvaux,,,,
,,Leyviller,,,,
,,Lez,,,,
,,Lez-Fontaine,,,,
,,Lezay,,,,
,,Lezennes,,,,
,,Lezey,,,,
,,Lezoux,,,,
,,Lezéville,,,,
,,Lherm,,,,
,,Lhez,,,,
,,Lhommaizé,,,,
,,Lhomme,,,,
,,Lhor,,,,
,,Lhospitalet,,,,
,,Lhoumois,,,,
,,Lhuis,,,,
,,Lhuys,,,,
,,Lhuître,,,,
,,Lhéraule,,,,
,,Lhéry,,,,
,,Lhôpital,,,,
,,Liac,,,,
,,Liancourt,,,,
,,Liancourt-Fosse,,,,
,,Liancourt-Saint-Pierre,,,,
,,Liart,,,,
,,Lias,,,,
,,Lias-d'Armagnac,,,,
,,Liausson,,,,
,,Libaros,,,,
,,Libercourt,,,,
,,Libermont,,,,
,,Libourne,,,,
,,Licey-sur-Vingeanne,,,,
,,Lichans-Sunhar,,,,
,,Lichos,,,,
,,Lichtenberg,,,,
,,Lichères,,,,
,,Lichères-près-Aigremont,,,,
,,Lichères-sur-Yonne,,,,
,,Licourt,,,,
,,Licq-Athérey,,,,
,,Licques,,,,
,,Licy-Clignon,,,,
,,Lidrezing,,,,
,,Liebenswiller,,,,
,,Liebsdorf,,,,
,,Liebvillers,,,,
,,Liederschiedt,,,,
,,Lieffrans,,,,
,,Liencourt,,,,
,,Lieoux,,,,
,,Liercourt,,,,
,,Liernais,,,,
,,Liernolles,,,,
,,Lierval,,,,
,,Lierville,,,,
,,Lies,,,,
,,Liesle,,,,
,,Liesse-Notre-Dame,,,,
,,Liessies,,,,
,,Liesville-sur-Douve,,,,
,,Liettres,,,,
,,Lieu-Saint-Amand,,,,
,,Lieuche,,,,
,,Lieucourt,,,,
,,Lieudieu,,,,
,,Lieurac,,,,
,,Lieuran-Cabrières,,,,
,,Lieuran-lès-Béziers,,,,
,,Lieurey,,,,
,,Lieuron,,,,
,,Lieusaint,,,,
,,Lieutadès,,,,
,,Lieuvillers,,,,
,,Liez,,,,
,,Liffol-le-Grand,,,,
,,Liffol-le-Petit,,,,
,,Liffré,,,,
,,Ligardes,,,,
,,Ligescourt,,,,
,,Liginiac,,,,
,,Liglet,,,,
,,Lignac,,,,
,,Lignairolles,,,,
,,Lignan-de-Bazas,,,,
,,Lignan-de-Bordeaux,,,,
,,Lignan-sur-Orb,,,,
,,Lignareix,,,,
,,Lignereuil,,,,
,,Lignerolles,,,,
,,Ligneyrac,,,,
,,Lignières,,,,
,,Lignières-Châtelain,,,,
,,Lignières-Orgères,,,,
,,Lignières-Sonneville,,,,
,,Lignières-de-Touraine,,,,
,,Lignières-en-Vimeu,,,,
,,Lignières-sur-Aire,,,,
,,Lignol,,,,
,,Lignol-le-Château,,,,
,,Lignon,,,,
,,Lignorelles,,,,
,,Lignou,,,,
,,Ligny-Saint-Flochel,,,,
,,Ligny-Thilloy,,,,
,,Ligny-en-Barrois,,,,
,,Ligny-en-Brionnais,,,,
,,Ligny-en-Cambrésis,,,,
,,Ligny-le-Châtel,,,,
,,Ligny-le-Ribault,,,,
,,Ligny-lès-Aire,,,,
,,Ligny-sur-Canche,,,,
,,Lignères,,,,
,,Ligné,,,,
,,Lignéville,,,,
,,Ligron,,,,
,,Ligré,,,,
,,Ligsdorf,,,,
,,Ligueil,,,,
,,Ligueux,,,,
,,Ligugé,,,,
,,Lihons,,,,
,,Lihus,,,,
,,Lilas,,,,
,,Lilhac,,,,
,,Lille,,,,
,,Lillebonne,,,,
,,Lillemer,,,,
,,Lillers,,,,
,,Lilly,,,,
,,Limalonges,,,,
,,Limans,,,,
,,Limanton,,,,
,,Limas,,,,
,,Limay,,,,
,,Limbrassac,,,,
,,Limeil-Brévannes,,,,
,,Limendous,,,,
,,Limeray,,,,
,,Limersheim,,,,
,,Limerzel,,,,
,,Limetz-Villez,,,,
,,Limeuil,,,,
,,Limeux,,,,
,,Limey-Remenauville,,,,
,,Limeyrat,,,,
,,Limoges,,,,
,,Limoges-Fourches,,,,
,,Limogne-en-Quercy,,,,
,,Limoise,,,,
,,Limon,,,,
,,Limonest,,,,
,,Limons,,,,
,,Limont-Fontaine,,,,
,,Limony,,,,
,,Limours,,,,
,,Limousis,,,,
,,Limoux,,,,
,,Limouzinière,,,,
,,Limpiville,,,,
,,Limé,,,,
,,Limésy,,,,
,,Linac,,,,
,,Linard,,,,
,,Linards,,,,
,,Linars,,,,
,,Linas,,,,
,,Linay,,,,
,,Linazay,,,,
,,Lindebeuf,,,,
,,Lindois,,,,
,,Lindre-Basse,,,,
,,Lindre-Haute,,,,
,,Lindry,,,,
,,Linexert,,,,
,,Lingeard,,,,
,,Linghem,,,,
,,Lingolsheim,,,,
,,Lingreville,,,,
,,Linguizzetta,,,,
,,Lingèvres,,,,
,,Lingé,,,,
,,Liniers,,,,
,,Liniez,,,,
,,Linsdorf,,,,
,,Linselles,,,,
,,Linthal,,,,
,,Linthelles,,,,
,,Linthes,,,,
,,Lintot,,,,
,,Lintot-les-Bois,,,,
,,Linxe,,,,
,,Liny-devant-Dun,,,,
,,Linzeux,,,,
,,Liocourt,,,,
,,Liomer,,,,
,,Lion-d'Angers,,,,
,,Lion-devant-Dun,,,,
,,Lion-en-Beauce,,,,
,,Lion-en-Sullias,,,,
,,Lion-sur-Mer,,,,
,,Liorac-sur-Louyre,,,,
,,Liouc,,,,
,,Liourdres,,,,
,,Lioux,,,,
,,Lioux-les-Monges,,,,
,,Liposthey,,,,
,,Lipsheim,,,,
,,Lirac,,,,
,,Lirey,,,,
,,Lironcourt,,,,
,,Lironville,,,,
,,Liry,,,,
,,Lisbourg,,,,
,,Lisieux,,,,
,,Lisle,,,,
,,Lisle-en-Barrois,,,,
,,Lisle-sur-Tarn,,,,
,,Lislet,,,,
,,Lison,,,,
,,Lisores,,,,
,,Lisors,,,,
,,Lissac,,,,
,,Lissac-et-Mouret,,,,
,,Lissac-sur-Couze,,,,
,,Lissay-Lochy,,,,
,,Lisse-en-Champagne,,,,
,,Lisses,,,,
,,Lisseuil,,,,
,,Lissey,,,,
,,Lissieu,,,,
,,Lissy,,,,
,,Listrac-Médoc,,,,
,,Listrac-de-Durèze,,,,
,,Lit-et-Mixe,,,,
,,Litteau,,,,
,,Littenheim,,,,
,,Litz,,,,
,,Livaie,,,,
,,Livarot-Pays-d'Auge,,,,
,,Liverdun,,,,
,,Liverdy-en-Brie,,,,
,,Livernon,,,,
,,Livers-Cazelles,,,,
,,Livet,,,,
,,Livet-en-Saosnois,,,,
,,Livet-et-Gavet,,,,
,,Livet-sur-Authou,,,,
,,Livilliers,,,,
,,Livinhac-le-Haut,,,,
,,Livinière,,,,
,,Livron,,,,
,,Livron-sur-Drôme,,,,
,,Livry,,,,
,,Livry-Gargan,,,,
,,Livry-Louvercy,,,,
,,Livry-sur-Seine,,,,
,,Livré-la-Touche,,,,
,,Livré-sur-Changeon,,,,
,,Lixhausen,,,,
,,Lixheim,,,,
,,Lixing-lès-Rouhling,,,,
,,Lixing-lès-Saint-Avold,,,,
,,Lixy,,,,
,,Lizac,,,,
,,Lizant,,,,
,,Lizeray,,,,
,,Lizine,,,,
,,Lizines,,,,
,,Lizio,,,,
,,Lizières,,,,
,,Lizos,,,,
,,Lizy,,,,
,,Lizy-sur-Ourcq,,,,
,,Liège,,,,
,,Lièpvre,,,,
,,Lières,,,,
,,Liéhon,,,,
,,Liéramont,,,,
,,Liévans,,,,
,,Liévin,,,,
,,Liézey,,,,
,,Llagonne,,,,
,,Llauro,,,,
,,Llo,,,,
,,Llupia,,,,
,,Lobsann,,,,
,,Loc-Brévalaire,,,,
,,Loc-Eguiner,,,,
,,Loc-Envel,,,,
,,Locarn,,,,
,,Loches,,,,
,,Loches-sur-Ource,,,,
,,Lochieu,,,,
,,Lochwiller,,,,
,,Loché-sur-Indrois,,,,
,,Locmalo,,,,
,,Locmaria,,,,
,,Locmaria-Berrien,,,,
,,Locmaria-Grand-Champ,,,,
,,Locmaria-Plouzané,,,,
,,Locmariaquer,,,,
,,Locminé,,,,
,,Locmiquélic,,,,
,,Locmélar,,,,
,,Locoal-Mendon,,,,
,,Locon,,,,
,,Loconville,,,,
,,Locqueltas,,,,
,,Locquignol,,,,
,,Locquirec,,,,
,,Locquénolé,,,,
,,Locronan,,,,
,,Loctudy,,,,
,,Locunolé,,,,
,,Loddes,,,,
,,Lodes,,,,
,,Lods,,,,
,,Lodève,,,,
,,Loffre,,,,
,,Loge,,,,
,,Loge-Fougereuse,,,,
,,Loge-Pomblin,,,,
,,Loge-aux-Chèvres,,,,
,,Logelheim,,,,
,,Loges,,,,
,,Loges-Marchis,,,,
,,Loges-Margueron,,,,
,,Loges-Saulces,,,,
,,Loges-en-Josas,,,,
,,Loges-sur-Brécey,,,,
,,Lognes,,,,
,,Logny-Bogny,,,,
,,Logny-lès-Aubenton,,,,
,,Logonna-Daoulas,,,,
,,Logrian-Florian,,,,
,,Logron,,,,
,,Loguivy-Plougras,,,,
,,Lohitzun-Oyhercq,,,,
,,Lohr,,,,
,,Lohuec,,,,
,,Lohéac,,,,
,,Loigny-la-Bataille,,,,
,,Loigné-sur-Mayenne,,,,
,,Loir en Vallée,,,,
,,Loire-Authion,,,,
,,Loire-les-Marais,,,,
,,Loire-sur-Rhône,,,,
,,Loireauxence,,,,
,,Loiron-Ruillé,,,,
,,Loiré,,,,
,,Loiré-sur-Nie,,,,
,,Loisail,,,,
,,Loisey,,,,
,,Loisia,,,,
,,Loisieux,,,,
,,Loisin,,,,
,,Loison,,,,
,,Loison-sous-Lens,,,,
,,Loison-sur-Créquoise,,,,
,,Loisy,,,,
,,Loisy-en-Brie,,,,
,,Loisy-sur-Marne,,,,
,,Loivre,,,,
,,Loix,,,,
,,Lolif,,,,
,,Lolme,,,,
,,Lombard,,,,
,,Lombers,,,,
,,Lombez,,,,
,,Lombia,,,,
,,Lombreuil,,,,
,,Lombron,,,,
,,Lombrès,,,,
,,Lommerange,,,,
,,Lommoye,,,,
,,Lomné,,,,
,,Lomont,,,,
,,Lomont-sur-Crête,,,,
,,Lompnas,,,,
,,Lompnieu,,,,
,,Lompret,,,,
,,Londe,,,,
,,Londe-les-Maures,,,,
,,Londigny,,,,
,,Londinières,,,,
,,Long,,,,
,,Longages,,,,
,,Longaulnay,,,,
,,Longavesnes,,,,
,,Longchamp,,,,
,,Longchamp-sous-Châtenois,,,,
,,Longchamp-sur-Aujon,,,,
,,Longchamps,,,,
,,Longchamps-sur-Aire,,,,
,,Longchaumois,,,,
,,Longcochon,,,,
,,Longeau-Percey,,,,
,,Longeault,,,,
,,Longeaux,,,,
,,Longechaux,,,,
,,Longechenal,,,,
,,Longecourt-en-Plaine,,,,
,,Longecourt-lès-Culêtre,,,,
,,Longemaison,,,,
,,Longepierre,,,,
,,Longes,,,,
,,Longessaigne,,,,
,,Longevelle,,,,
,,Longevelle-lès-Russey,,,,
,,Longevelle-sur-Doubs,,,,
,,Longeville,,,,
,,Longeville-en-Barrois,,,,
,,Longeville-lès-Metz,,,,
,,Longeville-lès-Saint-Avold,,,,
,,Longeville-sur-Mer,,,,
,,Longeville-sur-Mogne,,,,
,,Longevilles-Mont-d'Or,,,,
,,Longfossé,,,,
,,Longine,,,,
,,Longjumeau,,,,
,,Longlaville,,,,
,,Longmesnil,,,,
,,Longnes,,,,
,,Longny les Villages,,,,
,,Longperrier,,,,
,,Longpont,,,,
,,Longpont-sur-Orge,,,,
,,Longpré-le-Sec,,,,
,,Longpré-les-Corps-Saints,,,,
,,Longroy,,,,
,,Longré,,,,
,,Longsols,,,,
,,Longueau,,,,
,,Longuefuye,,,,
,,Longueil,,,,
,,Longueil-Annel,,,,
,,Longueil-Sainte-Marie,,,,
,,Longuenesse,,,,
,,Longuenoë,,,,
,,Longuenée-en-Anjou,,,,
,,Longuerue,,,,
,,Longues-sur-Mer,,,,
,,Longuesse,,,,
,,Longueval,,,,
,,Longueville,,,,
,,Longueville-sur-Aube,,,,
,,Longueville-sur-Scie,,,,
,,Longuevillette,,,,
,,Longuyon,,,,
,,Longué-Jumelles,,,,
,,Longvic,,,,
,,Longvillers,,,,
,,Longvilliers,,,,
,,Longwy,,,,
,,Longwy-sur-le-Doubs,,,,
,,Longwé,,,,
,,Longèves,,,,
,,Lonlay-l'Abbaye,,,,
,,Lonlay-le-Tesson,,,,
,,Lonnes,,,,
,,Lonny,,,,
,,Lonrai,,,,
,,Lons,,,,
,,Lons-le-Saunier,,,,
,,Lonzac,,,,
,,Lonçon,,,,
,,Looberghe,,,,
,,Loon-Plage,,,,
,,Loos,,,,
,,Loos-en-Gohelle,,,,
,,Looze,,,,
,,Loperhet,,,,
,,Lopigna,,,,
,,Lopérec,,,,
,,Loqueffret,,,,
,,Lor,,,,
,,Loray,,,,
,,Lorcières,,,,
,,Lorcy,,,,
,,Lordat,,,,
,,Lorentzen,,,,
,,Loreto-di-Casinca,,,,
,,Loreto-di-Tallano,,,,
,,Lorette,,,,
,,Loreur,,,,
,,Loreux,,,,
,,Lorey,,,,
,,Lorges,,,,
,,Lorgies,,,,
,,Lorgues,,,,
,,Lorient,,,,
,,Loriges,,,,
,,Lorignac,,,,
,,Lorigné,,,,
,,Loriol-du-Comtat,,,,
,,Loriol-sur-Drôme,,,,
,,Lorlanges,,,,
,,Lorleau,,,,
,,Lormaison,,,,
,,Lormaye,,,,
,,Lormes,,,,
,,Lormont,,,,
,,Lornay,,,,
,,Loromontzey,,,,
,,Loroux,,,,
,,Loroux-Bottereau,,,,
,,Lorp-Sentaraille,,,,
,,Lorquin,,,,
,,Lorrain,,,,
,,Lorrez-le-Bocage-Préaux,,,,
,,Lorris,,,,
,,Lorry-Mardigny,,,,
,,Lorry-lès-Metz,,,,
,,Lortet,,,,
,,Loscouët-sur-Meu,,,,
,,Losne,,,,
,,Losse,,,,
,,Lostanges,,,,
,,Lostroff,,,,
,,Lothey,,,,
,,Lottinghen,,,,
,,Louailles,,,,
,,Louan-Villegruis-Fontaine,,,,
,,Louannec,,,,
,,Louans,,,,
,,Louargat,,,,
,,Loubajac,,,,
,,Loubaresse,,,,
,,Loubaut,,,,
,,Loubejac,,,,
,,Loubens,,,,
,,Loubens-Lauragais,,,,
,,Loubers,,,,
,,Loubersan,,,,
,,Loubeyrat,,,,
,,Loubieng,,,,
,,Loubigné,,,,
,,Loubillé,,,,
,,Loubière,,,,
,,Loubières,,,,
,,Loubressac,,,,
,,Loubès-Bernac,,,,
,,Loubédat,,,,
,,Loucelles,,,,
,,Louchats,,,,
,,Louches,,,,
,,Louchy-Montfand,,,,
,,Loucrup,,,,
,,Loudenvielle,,,,
,,Loudervielle,,,,
,,Loudes,,,,
,,Loudet,,,,
,,Loudrefing,,,,
,,Loudun,,,,
,,Loudéac,,,,
,,Louer,,,,
,,Louesme,,,,
,,Loueuse,,,,
,,Louey,,,,
,,Lougratte,,,,
,,Lougres,,,,
,,Lougé-sur-Maire,,,,
,,Louhans,,,,
,,Louhossoa,,,,
,,Louignac,,,,
,,Louin,,,,
,,Louisfert,,,,
,,Louit,,,,
,,Loulans-Verchamp,,,,
,,Loulay,,,,
,,Loulle,,,,
,,Loupe,,,,
,,Loupeigne,,,,
,,Loupershouse,,,,
,,Loupes,,,,
,,Loupfougères,,,,
,,Loupia,,,,
,,Loupiac,,,,
,,Loupiac-de-la-Réole,,,,
,,Loupian,,,,
,,Louplande,,,,
,,Loupmont,,,,
,,Louppy-le-Château,,,,
,,Louppy-sur-Loison,,,,
,,Louptière-Thénard,,,,
,,Lourches,,,,
,,Lourde,,,,
,,Lourdes,,,,
,,Lourdios-Ichère,,,,
,,Lourdoueix-Saint-Michel,,,,
,,Lourdoueix-Saint-Pierre,,,,
,,Lourenties,,,,
,,Loures-Barousse,,,,
,,Louresse-Rochemenier,,,,
,,Lourmais,,,,
,,Lourmarin,,,,
,,Lournand,,,,
,,Lourouer-Saint-Laurent,,,,
,,Louroux,,,,
,,Louroux-Bourbonnais,,,,
,,Louroux-de-Beaune,,,,
,,Louroux-de-Bouble,,,,
,,Lourquen,,,,
,,Lourties-Monbrun,,,,
,,Loury,,,,
,,Louslitges,,,,
,,Loussous-Débat,,,,
,,Loutehel,,,,
,,Loutzviller,,,,
,,Louvagny,,,,
,,Louvatange,,,,
,,Louveciennes,,,,
,,Louvemont,,,,
,,Louvemont-Côte-du-Poivre,,,,
,,Louvencourt,,,,
,,Louverné,,,,
,,Louverot,,,,
,,Louversey,,,,
,,Louvetot,,,,
,,Louvie-Juzon,,,,
,,Louvie-Soubiron,,,,
,,Louviers,,,,
,,Louvignies-Quesnoy,,,,
,,Louvigny,,,,
,,Louvigné,,,,
,,Louvigné-de-Bais,,,,
,,Louvigné-du-Désert,,,,
,,Louvil,,,,
,,Louville-la-Chenard,,,,
,,Louvilliers-en-Drouais,,,,
,,Louvilliers-lès-Perche,,,,
,,Louvière-Lauragais,,,,
,,Louvières,,,,
,,Louvières-en-Auge,,,,
,,Louvrechy,,,,
,,Louvres,,,,
,,Louvroil,,,,
,,Louye,,,,
,,Louzac-Saint-André,,,,
,,Louzes,,,,
,,Louzignac,,,,
,,Louzouer,,,,
,,Louzy,,,,
,,Louâtre,,,,
,,Loué,,,,
,,Lovagny,,,,
,,Loyat,,,,
,,Loye,,,,
,,Loye-sur-Arnon,,,,
,,Loyettes,,,,
,,Lozanne,,,,
,,Lozay,,,,
,,Loze,,,,
,,Lozinghem,,,,
,,Lozzi,,,,
,,Luant,,,,
,,Luart,,,,
,,Lubbon,,,,
,,Lubersac,,,,
,,Lubey,,,,
,,Lubilhac,,,,
,,Lubine,,,,
,,Lublé,,,,
,,Lubret-Saint-Luc,,,,
,,Luby-Betmont,,,,
,,Lubécourt,,,,
,,Luc,,,,
,,Luc-Armau,,,,
,,Luc-en-Diois,,,,
,,Luc-la-Primaube,,,,
,,Luc-sur-Aude,,,,
,,Luc-sur-Mer,,,,
,,Luc-sur-Orbieu,,,,
,,Lucarré,,,,
,,Lucbardez-et-Bargues,,,,
,,Lucciana,,,,
,,Luceau,,,,
,,Lucelle,,,,
,,Lucenay,,,,
,,Lucenay-l'Évêque,,,,
,,Lucenay-le-Duc,,,,
,,Lucenay-lès-Aix,,,,
,,Lucerne-d'Outremer,,,,
,,Lucey,,,,
,,Lucgarier,,,,
,,Luchapt,,,,
,,Luchat,,,,
,,Lucheux,,,,
,,Luchy,,,,
,,Luché-Pringé,,,,
,,Luché-Thouarsais,,,,
,,Luché-sur-Brioux,,,,
,,Lucinges,,,,
,,Lucmau,,,,
,,Lucq-de-Béarn,,,,
,,Lucquy,,,,
,,Lucs-sur-Boulogne,,,,
,,Lucy,,,,
,,Lucy-le-Bocage,,,,
,,Lucy-le-Bois,,,,
,,Lucy-sur-Cure,,,,
,,Lucy-sur-Yonne,,,,
,,Lucé,,,,
,,Lucé-sous-Ballon,,,,
,,Lucéram,,,,
,,Lude,,,,
,,Ludes,,,,
,,Ludesse,,,,
,,Ludiès,,,,
,,Ludon-Médoc,,,,
,,Ludres,,,,
,,Luemschwiller,,,,
,,Lugagnac,,,,
,,Lugagnan,,,,
,,Lugaignac,,,,
,,Lugan,,,,
,,Lugarde,,,,
,,Lugasson,,,,
,,Luglon,,,,
,,Lugny,,,,
,,Lugny-Bourbonnais,,,,
,,Lugny-Champagne,,,,
,,Lugny-lès-Charolles,,,,
,,Lugo-di-Nazza,,,,
,,Lugon-et-l'Île-du-Carnay,,,,
,,Lugos,,,,
,,Lugrin,,,,
,,Lugy,,,,
,,Luhier,,,,
,,Luigny,,,,
,,Luisant,,,,
,,Luisetaines,,,,
,,Luitré,,,,
,,Lullin,,,,
,,Lully,,,,
,,Lumbin,,,,
,,Lumbres,,,,
,,Lumeau,,,,
,,Lumes,,,,
,,Lumigny-Nesles-Ormeaux,,,,
,,Lumio,,,,
,,Lunac,,,,
,,Lunan,,,,
,,Lunas,,,,
,,Lunay,,,,
,,Luneau,,,,
,,Lunegarde,,,,
,,Lunel,,,,
,,Lunel-Viel,,,,
,,Luneray,,,,
,,Lunery,,,,
,,Lunéville,,,,
,,Luot,,,,
,,Lupcourt,,,,
,,Lupersat,,,,
,,Lupiac,,,,
,,Luplanté,,,,
,,Luppy,,,,
,,Luppé-Violles,,,,
,,Lupsault,,,,
,,Lupstein,,,,
,,Lupé,,,,
,,Luquet,,,,
,,Lurais,,,,
,,Luray,,,,
,,Lurbe-Saint-Christau,,,,
,,Lurcy,,,,
,,Lurcy-Lévis,,,,
,,Lurcy-le-Bourg,,,,
,,Lure,,,,
,,Lureuil,,,,
,,Luri,,,,
,,Luriecq,,,,
,,Lurs,,,,
,,Lury-sur-Arnon,,,,
,,Luré,,,,
,,Lus-la-Croix-Haute,,,,
,,Lusanger,,,,
,,Luscan,,,,
,,Lusignac,,,,
,,Lusignan,,,,
,,Lusignan-Petit,,,,
,,Lusigny,,,,
,,Lusigny-sur-Barse,,,,
,,Lusigny-sur-Ouche,,,,
,,Lussac,,,,
,,Lussac-les-Châteaux,,,,
,,Lussac-les-Églises,,,,
,,Lussagnet,,,,
,,Lussagnet-Lusson,,,,
,,Lussan,,,,
,,Lussan-Adeilhac,,,,
,,Lussant,,,,
,,Lussas,,,,
,,Lussas-et-Nontronneau,,,,
,,Lussat,,,,
,,Lussault-sur-Loire,,,,
,,Lusse,,,,
,,Lusseray,,,,
,,Lustar,,,,
,,Luthenay-Uxeloup,,,,
,,Lutilhous,,,,
,,Luttange,,,,
,,Luttenbach-près-Munster,,,,
,,Lutter,,,,
,,Lutterbach,,,,
,,Lutzelbourg,,,,
,,Lutzelhouse,,,,
,,Luvigny,,,,
,,Lux,,,,
,,Luxe-Sumberraute,,,,
,,Luxeuil-les-Bains,,,,
,,Luxey,,,,
,,Luxiol,,,,
,,Luxé,,,,
,,Luxémont-et-Villotte,,,,
,,Luynes,,,,
,,Luyères,,,,
,,Luz-Saint-Sauveur,,,,
,,Luzancy,,,,
,,Luzarches,,,,
,,Luzay,,,,
,,Luze,,,,
,,Luzech,,,,
,,Luzenac,,,,
,,Luzeret,,,,
,,Luzerne,,,,
,,Luzillat,,,,
,,Luzillé,,,,
,,Luzinay,,,,
,,Luzoir,,,,
,,Luzy,,,,
,,Luzy-Saint-Martin,,,,
,,Luzy-sur-Marne,,,,
,,Luzé,,,,
,,Luçay-le-Libre,,,,
,,Luçay-le-Mâle,,,,
,,Luçon,,,,
,,Ly-Fontaine,,,,
,,Lyas,,,,
,,Lyaud,,,,
,,Lye,,,,
,,Lynde,,,,
,,Lyoffans,,,,
,,Lyon,,,,
,,Lyons-la-Forêt,,,,
,,Lys,,,,
,,Lys-Haut-Layon,,,,
,,Lys-Saint-Georges,,,,
,,Lys-lez-Lannoy,,,,
,,Lèches,,,,
,,Lège,,,,
,,Lège-Cap-Ferret,,,,
,,Lème,,,,
,,Lèves,,,,
,,Lèves-et-Thoumeyragues,,,,
,,Léalvillers,,,,
,,Léaupartie,,,,
,,Léaz,,,,
,,Léchelle,,,,
,,Léchère,,,,
,,Lécluse,,,,
,,Lécousse,,,,
,,Lécussan,,,,
,,Lédas-et-Penthiès,,,,
,,Lédat,,,,
,,Lédenon,,,,
,,Lédergues,,,,
,,Lédignan,,,,
,,Lée,,,,
,,Lées-Athas,,,,
,,Léglantiers,,,,
,,Légny,,,,
,,Léguevin,,,,
,,Léguillac-de-l'Auche,,,,
,,Légéville-et-Bonfays,,,,
,,Lélex,,,,
,,Lémeré,,,,
,,Léning,,,,
,,Léobard,,,,
,,Léogeats,,,,
,,Léognan,,,,
,,Léojac,,,,
,,Léon,,,,
,,Léoncel,,,,
,,Léotoing,,,,
,,Léouville,,,,
,,Léoville,,,,
,,Lépanges-sur-Vologne,,,,
,,Lépaud,,,,
,,Lépin-le-Lac,,,,
,,Lépinas,,,,
,,Lépine,,,,
,,Lépron-les-Vallées,,,,
,,Léran,,,,
,,Léren,,,,
,,Lérigneux,,,,
,,Lérouville,,,,
,,Léry,,,,
,,Léré,,,,
,,Lésignac-Durand,,,,
,,Lésigny,,,,
,,Létanne,,,,
,,Lételon,,,,
,,Léthuin,,,,
,,Létra,,,,
,,Létricourt,,,,
,,Lévignac,,,,
,,Lévignac-de-Guyenne,,,,
,,Lévignacq,,,,
,,Lévignen,,,,
,,Lévigny,,,,
,,Lévis-Saint-Nom,,,,
,,Lézan,,,,
,,Lézardrieux,,,,
,,Lézat-sur-Lèze,,,,
,,Lézignan,,,,
,,Lézignan-Corbières,,,,
,,Lézignan-la-Cèbe,,,,
,,Lézigneux,,,,
,,Lézigné,,,,
,,Lézinnes,,,,
,,Lüe,,,,
,,Lœuilley,,,,
,,Lœuilly,,,,
,,M'Tsangamouji,,,,
,,Maast-et-Violaine,,,,
,,Mably,,,,
,,Macau,,,,
,,Macaye,,,,
,,Macey,,,,
,,Machault,,,,
,,Machecoul-Saint-Même,,,,
,,Machemont,,,,
,,Macheren,,,,
,,Machiel,,,,
,,Machilly,,,,
,,Machine,,,,
,,Machy,,,,
,,Maché,,,,
,,Machézal,,,,
,,Mackenheim,,,,
,,Mackwiller,,,,
,,Maclas,,,,
,,Macogny,,,,
,,Maconcourt,,,,
,,Maconge,,,,
,,Macornay,,,,
,,Macouba,,,,
,,Macouria,,,,
,,Macqueville,,,,
,,Macquigny,,,,
,,Macé,,,,
,,Madaillan,,,,
,,Madecourt,,,,
,,Madegney,,,,
,,Madelaine-sous-Montreuil,,,,
,,Madeleine,,,,
,,Madeleine-Bouvet,,,,
,,Madeleine-Villefrouin,,,,
,,Madeleine-de-Nonancourt,,,,
,,Madeleine-sur-Loing,,,,
,,Madic,,,,
,,Madirac,,,,
,,Madiran,,,,
,,Madière,,,,
,,Madonne-et-Lamerey,,,,
,,Madranges,,,,
,,Madriat,,,,
,,Madré,,,,
,,Maen Roch,,,,
,,Maennolsheim,,,,
,,Maffliers,,,,
,,Maffrécourt,,,,
,,Magalas,,,,
,,Magdelaine-sur-Tarn,,,,
,,Magdeleine,,,,
,,Mage,,,,
,,Magenta,,,,
,,Mages,,,,
,,Magescq,,,,
,,Magland,,,,
,,Magnac-Bourg,,,,
,,Magnac-Laval,,,,
,,Magnac-Lavalette-Villars,,,,
,,Magnac-sur-Touvre,,,,
,,Magnan,,,,
,,Magnant,,,,
,,Magnanville,,,,
,,Magnas,,,,
,,Magnat-l'Étrange,,,,
,,Magnet,,,,
,,Magneux,,,,
,,Magneux-Haute-Rive,,,,
,,Magneville,,,,
,,Magnicourt,,,,
,,Magnicourt-en-Comte,,,,
,,Magnicourt-sur-Canche,,,,
,,Magnien,,,,
,,Magnieu,,,,
,,Magnils-Reigniers,,,,
,,Magnivray,,,,
,,Magnières,,,,
,,Magnoncourt,,,,
,,Magnoray,,,,
,,Magny,,,,
,,Magny-Châtelard,,,,
,,Magny-Cours,,,,
,,Magny-Danigon,,,,
,,Magny-Fouchard,,,,
,,Magny-Jobert,,,,
,,Magny-Lambert,,,,
,,Magny-Lormes,,,,
,,Magny-Montarlot,,,,
,,Magny-Saint-Médard,,,,
,,Magny-Vernois,,,,
,,Magny-en-Bessin,,,,
,,Magny-en-Vexin,,,,
,,Magny-la-Fosse,,,,
,,Magny-la-Ville,,,,
,,Magny-le-Désert,,,,
,,Magny-le-Hongre,,,,
,,Magny-les-Hameaux,,,,
,,Magny-lès-Aubigny,,,,
,,Magny-lès-Jussey,,,,
,,Magny-lès-Villers,,,,
,,Magny-sur-Tille,,,,
,,Magné,,,,
